cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
422000,439000,27,422500.0,439500.0,9135.060977385849
437000,425000,27,437500.0,425500.0,11540.653080027789
443000,437000,27,443500.0,437500.0,13907.972119941218
427000,440000,26,427500.0,440500.0,6721.535901028511
430000,426000,26,430500.0,426500.0,7769.059033893836
433000,426000,26,433500.0,426500.0,8514.564201093834
423000,428000,26,423500.0,428500.0,8661.81544105634
436000,425000,26,436500.0,425500.0,10915.13468046766
424000,445000,26,424500.0,445500.0,12511.008677460994
433000,432000,25,433500.0,432500.0,3934.562969362808
427000,429000,25,427500.0,429500.0,5358.194110180445
425000,438000,25,425500.0,438500.0,6171.847423483254
432000,428000,25,432500.0,428500.0,6280.575015250254
420000,436000,25,420500.0,436500.0,9739.857858627987
440000,445000,25,440500.0,445500.0,15403.553903577495
434000,429000,24,434500.0,429500.0,6560.167914620933
431000,427000,24,431500.0,427500.0,6921.123492407615
423000,438000,24,423500.0,438500.0,7745.881730128774
441000,432000,24,441500.0,432500.0,11655.593212116564
440000,428000,24,440500.0,428500.0,11992.401339541733
421000,432000,23,421500.0,432500.0,8655.78908651292
421000,444000,23,421500.0,444500.0,13299.949216476767
419000,442000,23,419500.0,442500.0,13334.215571633851
440000,447000,23,440500.0,447500.0,16919.332146064797
434000,430000,22,434500.0,430500.0,5876.475710172213
429000,423000,22,429500.0,423500.0,10761.983030030022
441000,433000,22,441500.0,433500.0,11547.727777816715
443000,439000,22,443500.0,439500.0,14506.068243928343
419000,446000,22,419500.0,446500.0,16118.001108316472
434000,441000,21,434500.0,441500.0,8544.10718089882
437000,438000,21,437500.0,438500.0,8640.011670619537
442000,445000,21,442500.0,445500.0,16833.374281528693
424000,429000,20,424500.0,429500.0,7250.566795771982
432000,443000,20,432500.0,443500.0,9586.60931119636
422000,441000,20,422500.0,441500.0,10413.628880894586
438000,427000,20,438500.0,427500.0,10873.247414770167
419000,445000,20,419500.0,445500.0,15371.818240646384
434000,427000,19,434500.0,427500.0,8126.590654116757
438000,436000,19,438500.0,436500.0,8814.872811379908
435000,426000,19,435500.0,426500.0,9517.921011237844
422000,427000,19,422500.0,427500.0,10073.89570175773
419000,434000,19,419500.0,434500.0,10479.694426700911
439000,426000,19,439500.0,426500.0,12279.12269094951
442000,431000,19,442500.0,431500.0,12821.942046465609
442000,442000,19,442500.0,442500.0,14995.699336455284
429000,429000,18,429500.0,429500.0,4775.276009194292
425000,431000,18,425500.0,431500.0,5254.669798303447
424000,430000,18,424500.0,430500.0,6638.364449484018
437000,437000,18,437500.0,437500.0,8194.67131520354
421000,439000,18,421500.0,439500.0,9970.09682198476
439000,430000,18,439500.0,430500.0,10235.502375373639
432000,444000,18,432500.0,444500.0,10554.631295774325
