u,v,length_m,node_owner_u,node_owner_v,node_network_owner,edge_point_owner,is_boundary_edge
610959,610967,1344.3854156966427,Seed_4,Seed_4,Seed_4,Seed_4,False
1940360473,26706287,580.7251148075284,Seed_4,Seed_4,Seed_4,Seed_4,False
610967,610968,74.99666388990003,Seed_4,Seed_4,Seed_4,Seed_4,False
610967,551274768,238.56847203724635,Seed_4,Seed_4,Seed_4,Seed_4,False
610968,1940360611,90.20391231721766,Seed_4,Seed_4,Seed_4,Seed_4,False
610968,551274750,141.04470947571693,Seed_4,Seed_4,Seed_4,Seed_4,False
551274768,2316446555,44.690650356958756,Seed_4,Seed_4,Seed_4,Seed_4,False
551274768,1940648282,648.6919518194809,Seed_4,Seed_4,Seed_4,Seed_4,False
1940360611,1940360631,71.54509016899998,Seed_4,Seed_4,Seed_4,Seed_4,False
1940360611,1940360622,102.57384440622441,Seed_4,Seed_4,Seed_4,Seed_4,False
551274750,1940360610,42.55022221110588,Seed_4,Seed_4,Seed_4,Seed_4,False
551274750,1940360580,118.41903205512746,Seed_4,Seed_4,Seed_4,Seed_4,False
610969,1940648407,131.1984758273369,Seed_4,Seed_4,Seed_4,Seed_4,False
610969,443102334,115.0990794126192,Seed_4,Seed_4,Seed_4,Seed_4,False
610969,1940360610,448.2886758107902,Seed_4,Seed_4,Seed_4,Seed_4,False
1940648407,1940648494,58.53108848805019,Seed_4,Seed_4,Seed_4,Seed_4,False
1940648407,1940648419,65.9986054706231,Seed_4,Seed_4,Seed_4,Seed_4,False
443102334,1940648532,73.91446783157585,Seed_4,Seed_4,Seed_4,Seed_4,False
443102334,443087711,490.48170616130153,Seed_4,Seed_4,Seed_4,Seed_4,False
443102334,443103528,85.61262025837742,Seed_4,Seed_4,Seed_4,Seed_4,False
1940360610,1940360602,52.238169185636835,Seed_4,Seed_4,Seed_4,Seed_4,False
610985,6475576509,437.4277587780335,Seed_4,Seed_4,Seed_4,Seed_4,False
610985,1949906386,496.7226475691098,Seed_4,Seed_4,Seed_4,Seed_4,False
610985,413571568,1269.3579683480211,Seed_4,Seed_4,Seed_4,Seed_4,False
413571568,413571668,448.1216571919549,Seed_4,Seed_4,Seed_4,Seed_4,False
413571568,4899790177,142.69882746188566,Seed_4,Seed_4,Seed_4,Seed_4,False
611046,11800270630,63.06360587485662,Seed_3,Seed_3,Seed_3,Seed_3,False
611046,5654693842,47.90032444746882,Seed_3,Seed_3,Seed_3,Seed_3,False
611046,5654658139,148.24694782716688,Seed_3,Seed_3,Seed_3,Seed_3,False
11800270630,637919445,27.992325074871562,Seed_3,Seed_3,Seed_3,Seed_3,False
11800270630,26659804,28.939695625335556,Seed_3,Seed_3,Seed_3,Seed_3,False
5654693842,5285578086,42.31971773551462,Seed_3,Seed_3,Seed_3,Seed_3,False
5654693842,5654693841,37.27453853924546,Seed_3,Seed_3,Seed_3,Seed_3,False
5654658139,2313650957,10.327062092422505,Seed_3,Seed_3,Seed_3,Seed_3,False
5654658139,5654658138,50.34788328175671,Seed_3,Seed_3,Seed_3,Seed_3,False
611055,342626322,95.57933996774779,Seed_3,Seed_3,Seed_3,Seed_3,False
611055,317020454,66.77750817058683,Seed_3,Seed_3,Seed_3,Seed_3,False
611055,6047609609,107.73136450679732,Seed_3,Seed_3,Seed_3,Seed_3,False
342626322,342626318,41.15611369865368,Seed_3,Seed_3,Seed_3,Seed_3,False
342626322,1606959335,18.923680805650793,Seed_3,Seed_3,Seed_3,Seed_3,False
317020454,317087861,34.670242753146255,Seed_3,Seed_3,Seed_3,Seed_3,False
317020454,317087866,31.622024622623208,Seed_3,Seed_3,Seed_3,Seed_3,False
611057,6047609602,32.104148869412406,Seed_3,Seed_3,Seed_3,Seed_3,False
611057,955003902,8.103606945523104,Seed_3,Seed_3,Seed_3,Seed_3,False
611057,1606959387,5.198382997387646,Seed_3,Seed_3,Seed_3,Seed_3,False
6047609602,26661423,39.978823269645325,Seed_3,Seed_3,Seed_3,Seed_3,False
6047609602,682264890,35.00902025049308,Seed_3,Seed_3,Seed_3,Seed_3,False
643592,303162129,99.30285318831986,Seed_3,Seed_3,Seed_3,Seed_3,False
643592,303162171,111.20473654728073,Seed_3,Seed_3,Seed_3,Seed_3,False
643592,303162565,73.111723735232,Seed_3,Seed_3,Seed_3,Seed_3,False
303162129,303162128,24.639414140723805,Seed_3,Seed_3,Seed_3,Seed_3,False
303162129,303162121,31.352824546589524,Seed_3,Seed_3,Seed_3,Seed_3,False
303162171,1713348736,265.00223507985265,Seed_3,Seed_3,Seed_3,Seed_3,False
303162171,1651115740,998.7656915832373,Seed_3,Seed_3,Seed_3,Seed_3,False
303162565,303162563,76.39700507731591,Seed_3,Seed_3,Seed_3,Seed_3,False
303162565,303162194,5.579078932792382,Seed_3,Seed_3,Seed_3,Seed_3,False
643595,6297387173,28.288201606884424,Seed_3,Seed_3,Seed_3,Seed_3,False
643595,6297387178,42.07865227953404,Seed_3,Seed_3,Seed_3,Seed_3,False
643595,2074884209,38.407651079283156,Seed_3,Seed_3,Seed_3,Seed_3,False
643595,6297387169,30.925146662038294,Seed_3,Seed_3,Seed_3,Seed_3,False
6297387173,26668332,208.6207456081682,Seed_3,Seed_3,Seed_3,Seed_3,False
6297387173,6297387169,28.793174818809653,Seed_3,Seed_3,Seed_3,Seed_3,False
6297387178,3310851892,197.84367806473037,Seed_3,Seed_3,Seed_3,Seed_3,False
6297387178,2074884209,39.88365423552803,Seed_3,Seed_3,Seed_3,Seed_3,False
2074884209,256631630,51.69339392570773,Seed_3,Seed_3,Seed_3,Seed_3,False
6297387169,256631543,98.83931243348113,Seed_3,Seed_3,Seed_3,Seed_3,False
643600,255454218,31.397980630819802,Seed_3,Seed_3,Seed_3,Seed_3,False
643600,255454203,307.8041248310488,Seed_3,Seed_3,Seed_3,Seed_3,False
643600,256631641,265.75307150848255,Seed_3,Seed_3,Seed_3,Seed_3,False
255454218,255454215,92.94475999097726,Seed_3,Seed_3,Seed_3,Seed_3,False
255454218,255454223,71.93606109424482,Seed_3,Seed_3,Seed_3,Seed_3,False
255454203,643603,22.21894603508708,Seed_3,Seed_3,Seed_3,Seed_3,False
255454203,255454205,46.98287478086456,Seed_3,Seed_3,Seed_3,Seed_3,False
256631641,3310851892,80.99555945210392,Seed_3,Seed_3,Seed_3,Seed_3,False
256631641,256631652,105.66262475056159,Seed_3,Seed_3,Seed_3,Seed_3,False
643603,255454196,33.5327333129077,Seed_3,Seed_3,Seed_3,Seed_3,False
643603,255454253,97.1092120469782,Seed_3,Seed_3,Seed_3,Seed_3,False
255454196,255454200,66.95203782491228,Seed_3,Seed_3,Seed_3,Seed_3,False
255454196,4413362485,103.01917566561212,Seed_3,Seed_4,boundary,Seed_4,True
