node_id,x,y,planar_owner,node_network_owner,street_count
5846397902,430816.45828225656,438602.7643058103,Seed_3,Seed_3,3
2043065368,430783.138222271,438627.6132319742,Seed_3,Seed_3,3
3471395,431348.76022803877,438775.56171979685,Seed_3,Seed_3,3
248495604,431403.83503117034,438786.1000784965,Seed_3,Seed_3,3
1325884789,431325.59329116414,438841.4201424038,Seed_3,Seed_3,1
1325884618,431277.8561005402,438756.840516628,Seed_3,Seed_3,3
3471412,431803.00018542085,438828.569364008,Seed_3,Seed_3,3
1080523691,431649.8009752587,438816.3388472216,Seed_3,Seed_3,3
247963423,431839.460541503,438833.12291897286,Seed_3,Seed_3,3
247962301,431815.449384846,438687.0360223474,Seed_3,Seed_3,4
3471522,430771.48894854356,438759.29620774824,Seed_3,Seed_3,3
249732556,430777.6471575853,438710.2801044679,Seed_3,Seed_3,3
3471535,430765.3068274346,438798.9436881597,Seed_3,Seed_3,3
10969595167,430737.6153856597,438971.0551692896,Seed_3,Seed_3,3
703828709,430795.83664778265,438809.00225358177,Seed_3,Seed_3,3
6979278,424617.9616382957,434392.7073331828,Seed_3,Seed_3,3
50724603,424614.460236367,434383.4764502632,Seed_3,Seed_3,3
6979284,424645.69314678473,434381.6931168068,Seed_3,Seed_3,3
6979286,424624.5512001018,434439.7391525465,Seed_3,Seed_3,3
50724614,424648.4011952615,434388.9838931208,Seed_3,Seed_3,1
50724617,424641.71227026824,434370.96878023003,Seed_3,Seed_3,1
296016788,424698.71407431155,434439.66120829526,Seed_3,Seed_3,3
54139908,424571.99328800745,434439.13014597574,Seed_3,Seed_3,3
6979288,424076.91732226213,434507.9303886866,Seed_3,Seed_3,4
298034295,423990.0772803193,434523.67481044214,Seed_3,Seed_3,3
298034064,424102.6146783691,434504.06783998595,Seed_3,Seed_3,3
298034289,424089.51845738397,434536.9343432151,Seed_3,Seed_3,3
43643444,424057.45025625225,434466.74145120475,Seed_3,Seed_3,3
6979295,424501.31397303275,434439.27277329017,Seed_3,Seed_3,3
55425724,424413.6118231556,434451.8227455097,Seed_3,Seed_3,3
55425727,424456.948556256,434408.34426851384,Seed_3,Seed_3,3
6979301,424172.84204706404,433988.6607445829,Seed_3,Seed_3,3
1589713201,424690.93290488725,434053.105547598,Seed_3,Seed_3,3
6979325,424463.4494423101,433861.80145521136,Seed_3,Seed_3,4
6979336,424632.31309543824,433631.26907274255,Seed_3,Seed_3,3
304470461,424298.24094137014,434000.0666418263,Seed_3,Seed_3,3
6980155,424651.4320144624,433621.7785237335,Seed_3,Seed_3,3
6980107,424600.46585888986,433578.33048783266,Seed_3,Seed_3,3
6980177,424573.2845613195,433605.42528400687,Seed_3,Seed_3,3
21122827,424595.09481610137,433604.00397567276,Seed_3,Seed_3,3
6980115,424041.3954355617,434085.5411436701,Seed_3,Seed_3,3
1639920065,424690.14517241594,433601.38712415844,Seed_3,Seed_3,3
1639920059,424660.0577333307,433591.00410874106,Seed_3,Seed_3,3
6980163,424652.33167211915,433573.33960785763,Seed_3,Seed_3,3
11621998199,424690.6919786793,433523.65097846545,Seed_3,Seed_3,3
6980168,424626.78993166785,433564.037652839,Seed_3,Seed_3,3
1589713223,424494.53330426005,433641.61941188306,Seed_3,Seed_3,3
6980681,425061.2173677617,433370.0455263789,Seed_3,Seed_3,4
2719936836,425047.56504670694,433197.68291391083,Seed_3,Seed_3,3
304322902,425070.50920414744,433574.2727792611,Seed_3,Seed_3,3
