accident_row,u,v,key,edge_length_m,distance_to_u_m,distance_to_v_m,nearest_intersection_distance_m,edge_fraction_to_nearest_intersection
395,301688528,9755805559,0,61.476037900384725,41.04401200779926,20.432025892585465,20.432025892585465,0.3323575589840932
396,51458940,1020030657,0,33.668725255035156,32.61538107096441,1.0533441840707454,1.0533441840707454,0.031285538020576466
397,7275677007,9755805529,0,137.63338677762331,137.63338677762331,0.0,0.0,0.0
398,7275677007,9755805529,0,137.63338677762331,137.63338677762331,0.0,0.0,0.0
399,7275677007,9755805529,0,137.63338677762331,137.63338677762331,0.0,0.0,0.0
400,659985459,643851,0,27.438771908456417,22.637306934448866,4.801464974007551,4.801464974007551,0.17498833366254912
401,659985459,643851,0,27.438771908456417,22.637306934448866,4.801464974007551,4.801464974007551,0.17498833366254912
402,342579502,5728993698,0,95.80320604898729,74.68347245259812,21.119733596389167,21.119733596389167,0.2204491317919983
403,342579502,5728993698,0,95.80320604898729,74.68347245259812,21.119733596389167,21.119733596389167,0.2204491317919983
404,342579502,5728993698,0,95.80320604898729,74.68347245259812,21.119733596389167,21.119733596389167,0.2204491317919983
405,342628235,682264890,0,123.28715661209853,9.870677695335967,113.41647891676256,9.870677695335967,0.08006249772141577
406,342628235,682264890,0,123.28715661209853,9.870677695335967,113.41647891676256,9.870677695335967,0.08006249772141577
407,342628235,682264890,0,123.28715661209853,9.870677695335967,113.41647891676256,9.870677695335967,0.08006249772141577
408,26298423,4540786888,0,23.24211486333223,7.350362062781262,15.891752800550968,7.350362062781262,0.31625186029768365
409,9755805529,7275677007,0,137.63338677762334,85.38507965116004,52.2483071264633,52.2483071264633,0.3796194248339017
410,9755805559,10563335063,0,99.88782334633278,77.11942985628433,22.768393490048453,22.768393490048453,0.2279396299497436
411,682264890,26661423,0,33.91375300896694,15.255972979451585,18.657780029515358,15.255972979451585,0.44984620178774787
412,682264890,643914,0,116.13271478114794,104.24863760650626,11.884077174641675,11.884077174641675,0.10233186399747232
413,682264890,643914,0,116.13271478114794,104.24863760650626,11.884077174641675,11.884077174641675,0.10233186399747232
414,342628235,682264890,0,123.28715661209853,7.877550192228298,115.40960641987023,7.877550192228298,0.06389595160356916
415,317032947,4842036912,0,42.50901474095101,38.99619516357077,3.5128195773802418,3.5128195773802418,0.08263705001838519
416,317032947,4842036912,0,42.50901474095101,38.99619516357077,3.5128195773802418,3.5128195773802418,0.08263705001838519
417,921265743,9405615106,0,301.18924676770894,169.09016071693844,132.0990860507705,132.0990860507705,0.4385916411971089
418,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
419,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
420,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
421,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
422,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
423,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
424,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
425,6047609602,682264890,0,35.03199481028963,30.935401433389806,4.0965933768998255,4.0965933768998255,0.11693862707745578
426,1600382025,4029217601,0,34.361018047571136,10.397151016666806,23.963867030904332,10.397151016666806,0.3025856510500493
427,643851,1020737601,0,7.995276440427388,5.335989107775889,2.659287332651499,2.659287332651499,0.33260730288261886
428,342620651,1020737722,0,18.32487226004556,1.9145740906391764,16.41029816940638,1.9145740906391764,0.10447953270668073
429,643930,643933,0,161.1409101151588,126.85285166853983,34.28805844661896,34.28805844661896,0.2127830755213876
430,26298428,26298429,0,86.18873377641975,2.3952044389683897,83.79352933745136,2.3952044389683897,0.027790226564666044
431,320952835,342626318,0,49.963429244339615,43.34493201309099,6.618497231248625,6.618497231248625,0.1324668328685313
432,320952835,342626318,0,49.963429244339615,43.34493201309099,6.618497231248625,6.618497231248625,0.1324668328685313
433,7275677007,4540786888,0,227.93471145506948,225.9805244025969,1.9541870524725766,1.9541870524725766,0.008573450879848926
434,4842036915,51458932,0,19.807171768859337,8.911852730339488,10.89531903851985,8.911852730339488,0.4499306026290248
435,4842036915,51458932,0,19.807171768859337,8.911852730339488,10.89531903851985,8.911852730339488,0.4499306026290248
436,11729210421,10103026366,0,183.36197895475755,170.19506123421743,13.166917720540113,13.166917720540113,0.07180833123419167
437,643945,6211583013,0,44.62886734064408,33.86323220216008,10.765635138484,10.765635138484,0.24122582041600682
438,52351597,52162805,0,19.21360249576196,2.229151742173383,16.98445075358858,2.229151742173383,0.11601945770789616
439,52351597,52162805,0,19.21360249576196,2.229151742173383,16.98445075358858,2.229151742173383,0.11601945770789616
440,52351597,52162805,0,19.21360249576196,2.229151742173383,16.98445075358858,2.229151742173383,0.11601945770789616
441,52351597,52162805,0,19.21360249576196,2.229151742173383,16.98445075358858,2.229151742173383,0.11601945770789616
442,10103026366,11729210421,0,183.36197895475755,49.10967695510592,134.25230199965162,49.10967695510592,0.26782911721967817
443,301688528,9755805559,0,61.476037900384725,61.476037900384725,0.0,0.0,0.0
444,2377604559,51458926,0,102.18817884986629,97.30781414326393,4.880364706602364,4.880364706602364,0.04775860340727415
445,4029217601,342660313,0,10.93945534046623,4.634827491236445,6.304627849229785,4.634827491236445,0.4236799133949307
446,10103026366,11729210421,0,183.36197895475755,121.70043900394926,61.66153995080829,61.66153995080829,0.33628312860880805
447,301688528,9319419235,0,144.73228205725678,12.210620318134401,132.52166173912238,12.210620318134401,0.08436694388128159
448,9755805559,10563335063,0,99.88782334633278,99.88782334633278,0.0,0.0,0.0
449,342660345,342660313,0,47.34318132982291,46.53199014306048,0.8111911867624286,0.8111911867624286,0.017134277080180806
450,342660345,342660313,0,47.34318132982291,46.53199014306048,0.8111911867624286,0.8111911867624286,0.017134277080180806
451,921265743,9405615106,0,301.18924676770894,301.17347862067396,0.015768147034975755,0.015768147034975755,5.235295484216566e-05
452,1022749752,26661432,0,166.48810798653983,40.5869699219587,125.90113806458113,40.5869699219587,0.2437829969527917
453,1022749752,26661432,0,166.48810798653983,40.5869699219587,125.90113806458113,40.5869699219587,0.2437829969527917
454,643907,26298423,0,15.659044444469398,1.4308849996253756,14.228159444844023,1.4308849996253756,0.09137754252500052
455,301688528,9319419235,0,144.73228205725678,51.05259396654074,93.67968809071604,51.05259396654074,0.3527381261517323
456,52351597,1743296708,0,23.91949419444685,8.899202564312892,15.02029163013396,8.899202564312892,0.372048108207026
457,52167239,342660306,0,87.55905436318574,44.14328831518771,43.41576604799803,43.41576604799803,0.49584553378013885
458,26298474,26296951,0,224.0763533002627,43.98277717815706,180.09357612210565,43.98277717815706,0.19628477762318838
459,643933,10103026371,0,174.23643618102165,174.23643618102165,0.0,0.0,0.0
460,342626318,955003902,0,36.06183478130967,14.129272021087301,21.932562760222368,14.129272021087301,0.39180679815022335
461,955003902,611057,0,8.108729687465955,6.8714312792673615,1.2372984081985932,1.2372984081985932,0.1525884393595144
462,244449799,9405615106,0,45.40902546161731,0.0,45.40902546161731,0.0,0.0
463,643930,643933,0,161.1409101151588,156.24906799417496,4.891842120983824,4.891842120983824,0.03035754308131862
464,643933,10103026371,0,174.23643618102165,174.23643618102165,0.0,0.0,0.0
465,643930,643933,0,161.1409101151588,64.63196486713568,96.50894524802311,64.63196486713568,0.40108973457421004
466,643933,643936,0,55.44003740314511,11.103920211204484,44.33611719194063,11.103920211204484,0.20028702597113612
467,3181227681,9823004,0,143.82357080522385,81.60099334514227,62.22257746008158,62.22257746008158,0.43263129340842077
468,7275677007,9755805529,0,137.63338677762331,114.91457551427268,22.71881126335063,22.71881126335063,0.16506758857905468
469,317087679,320952835,0,164.38768605819172,52.55880229145504,111.82888376673668,52.55880229145504,0.3197246919872679
470,52167239,342660306,0,87.55905436318574,74.26492746255745,13.294126900628285,13.294126900628285,0.15183040745832688
471,9755805559,10563335063,0,99.88782334633278,4.394657790600267,95.49316555573252,4.394657790600267,0.04399593106922586
472,1591373213,26298441,0,111.00939699561452,110.0609693596145,0.9484276360000194,0.9484276360000194,0.008543669830379201
473,1591373213,26298441,0,111.00939699561452,110.0609693596145,0.9484276360000194,0.9484276360000194,0.008543669830379201
474,1606819527,2377604550,0,17.515361555093868,2.1426854391556933,15.372676115938175,2.1426854391556933,0.12233178472599393
475,52167638,52167239,0,203.95898928714107,140.40674406321506,63.55224522392601,63.55224522392601,0.31159325434023794
476,643933,643936,0,55.44003740314511,19.70506110312992,35.73497630001519,19.70506110312992,0.35543015528362637
477,643933,643936,0,55.44003740314511,19.70506110312992,35.73497630001519,19.70506110312992,0.35543015528362637
478,249813619,26298445,0,103.55827437207316,2.394152362760272,101.16412200931289,2.394152362760272,0.023118890086545413
479,301688528,9319419235,0,144.73228205725678,122.06197479496514,22.670307262291644,22.670307262291644,0.1566361487572148
480,643933,10103026371,0,174.23643618102165,125.09127741459945,49.1451587664222,49.1451587664222,0.28206016975326104
481,9755805559,10563335063,0,99.88782334633278,52.006492752501586,47.881330593831194,47.881330593831194,0.4793510258784619
482,643930,643933,0,161.1409101151588,153.23168912273238,7.9092209924264125,7.9092209924264125,0.049082638212568835
483,342628235,5728993689,0,99.96040795153901,53.90796761090935,46.05244034062966,46.05244034062966,0.4607068066684558
484,7275677007,4540786888,0,227.93471145506948,30.968014477292943,196.96669697777654,30.968014477292943,0.13586352986608344
485,26298435,304904904,0,151.39409752313986,2.3510559815208456,149.043041541619,2.3510559815208456,0.015529376772178968
486,26298435,304904904,0,151.39409752313986,2.3510559815208456,149.043041541619,2.3510559815208456,0.015529376772178968
487,26298435,304904904,0,151.39409752313986,2.3510559815208456,149.043041541619,2.3510559815208456,0.015529376772178968
488,26298435,304904904,0,151.39409752313986,2.3510559815208456,149.043041541619,2.3510559815208456,0.015529376772178968
489,342660306,26296951,0,145.89494442225387,138.12276306325714,7.772181358996733,7.772181358996733,0.053272451555978755
490,2014304918,1675168064,0,27.023631814150043,11.46884152644587,15.554790287704174,11.46884152644587,0.4244004508839032
491,51458926,6047609599,0,68.42533394903214,7.092076814100818,61.333257134931316,7.092076814100818,0.10364694484916188
492,10563335063,9755805559,0,99.88782334633278,12.544349418110714,87.34347392822207,12.544349418110714,0.12558437052549168
493,26298474,26296951,0,224.0763533002627,0.0,224.0763533002627,0.0,0.0
494,7241259895,342579565,0,27.785762034306213,0.0,27.785762034306213,0.0,0.0
495,643930,301688528,0,200.07871488204748,106.60235650723094,93.47635837481654,93.47635837481654,0.46719791473032857
496,250214013,340480304,0,211.7376933215135,78.91635844899533,132.82133487251815,78.91635844899533,0.37270812395771513
497,301689321,26300437,0,164.86638173456265,108.01535367080065,56.851028063762,56.851028063762,0.34483093196824693
498,342628235,5728993689,0,99.96040795153901,58.762571413022,41.19783653851701,41.19783653851701,0.41214154066367753
499,342628235,5728993689,0,99.96040795153901,7.793365601334883,92.16704235020413,7.793365601334883,0.07796452376538039
500,5728993707,6264670261,0,81.42587250044666,5.074707115464426,76.35116538498224,5.074707115464426,0.06232303025597409
501,30822588,26298426,0,59.644019587543106,5.2663028558065,54.377716731736605,5.2663028558065,0.08829557250206505
502,1591373213,395471671,0,65.48498653817063,6.386829265723389,59.09815727244724,6.386829265723389,0.09753119918564175
503,1591373213,395471671,0,65.48498653817063,6.386829265723389,59.09815727244724,6.386829265723389,0.09753119918564175
504,1591373213,395471671,0,65.48498653817063,6.386829265723389,59.09815727244724,6.386829265723389,0.09753119918564175
