u,v,key,length,accident_count
5728993707,6264670261,0,81.32323414541636,3
6047609599,342620628,0,97.08282382596347,0
6047609599,2377604543,0,82.97664930116522,1
6047609602,26661423,0,39.978823269645325,0
6047609602,682264890,0,35.00902025049308,9
6047609609,611055,0,107.73136450679732,4
6047609609,317112656,0,47.40182788315965,1
6047609627,3291318089,0,47.04700712686662,1
6211583013,26298420,0,7.875416512997927,1
6264670261,659985459,0,47.60083137353179,0
6309354601,6264670261,0,36.173836178865805,0
6309354601,6905250281,0,59.771480920316726,0
6592118493,1591373193,0,371.7803674056085,1
6905250281,1606819527,0,29.69947447225675,0
6905250281,643851,0,23.92036282370143,1
7241259895,342579565,0,27.76597219466072,1
7261160018,1020737635,0,37.2511794000926,0
7275677007,9755805529,0,137.53395501993538,34
7275677007,4540786888,0,227.2793572617666,17
8173378047,316814359,0,57.80010926943237,0
8173378047,8173378050,0,17.921987884070468,0
8173378050,316814363,0,9.98114776703557,0
8173378050,317112656,0,17.678074513756815,0
8273166694,643945,0,1.0059210188022942,0
8326384271,8326384273,0,5.537986501179317,0
8326384271,643936,0,101.97973426467433,0
8326384271,52050086,0,49.66367149872626,0
8326384273,8326384271,0,5.537986501179317,0
8674724116,395469494,0,9.14551765916647,0
9077392916,4029217601,0,45.761516569843266,3
9077392916,9405615106,0,113.45850285449133,26
9235707943,9235707984,0,175.33433207536646,2
9235707984,9235707993,0,51.98662589432829,2
9235707984,9235707943,0,175.33433207536646,0
9235707984,3149003649,0,13.628459654555293,0
9235707993,9235707984,0,51.9866258943283,0
9235707993,317020298,0,43.58395258794314,0
9319419235,5728993698,0,28.904991124686795,2
9405615106,9077392916,0,113.45850285449133,6
9405615106,921265743,0,300.8213037842363,14
9405615106,244449799,0,45.27919351361295,2
9755805529,7275677007,0,137.53395501993538,10
9755805529,342579538,0,256.18393489727134,6
9755805559,10563335063,0,99.79032761334132,30
9755805559,301688528,0,61.33221890048014,3
9755805559,26299410,0,170.42537349703704,29
10103026366,11729210421,0,182.83806989374193,14
10103026366,10103026371,0,12.310725151634621,2
10103026371,10103026366,0,11.14574381758225,0
10103026385,11729210420,0,11.068398361126382,0
10103026385,340480304,0,84.85820773480447,5
10103026390,11729210420,0,39.57664222126362,3
10291732457,316814429,0,167.62073161265533,2
10291732457,9235707993,0,60.72345345806257,4
10563335054,643911,0,24.52958157350607,4
10563335054,5728993698,0,111.65128236767079,25
10563335063,9755805559,0,99.79032761334132,3
10592471555,3149003649,0,57.850324473898354,0
10592477256,3149003649,0,15.328151914421408,1
10624200323,10624200325,0,6.033421390114462,1
10624200323,52162350,0,10.149027132031716,0
10624200325,52350425,0,19.263771212666338,0
10624200325,52162350,0,9.135351540668568,0
11729210420,10103026385,0,11.068398361126382,1
11729210420,11729210422,0,10.196306092111353,0
11729210420,10103026390,0,39.576642221263626,1
11729210421,10103026385,0,9.747283510805367,0
11729210421,10103026366,0,182.83806989374196,9
11729210422,10103026385,0,3.503531751190965,0
11729210422,11729210421,0,10.317406575338977,3
12209100237,316814426,0,7.594561587380053,0
12437916586,1296601330,0,43.19578707657724,0
13025664346,1591373192,0,44.25234765933727,0
13025664346,9823132,0,34.987881492039506,0
