dataset,run,step,susceptible,infected,recovered
BOT_REQUESTS,73,1,517,2,0
BOT_REQUESTS,73,2,516,2,1
BOT_REQUESTS,73,3,505,13,1
BOT_REQUESTS,73,4,380,132,7
BOT_REQUESTS,73,5,239,232,48
BOT_REQUESTS,73,6,155,247,117
BOT_REQUESTS,74,0,517,2,0
BOT_REQUESTS,74,1,516,1,2
BOT_REQUESTS,74,2,506,11,2
BOT_REQUESTS,74,3,450,63,6
BOT_REQUESTS,74,4,295,197,27
BOT_REQUESTS,74,5,192,239,88
BOT_REQUESTS,74,6,157,213,149
BOT_REQUESTS,75,0,517,2,0
BOT_REQUESTS,75,1,517,1,1
BOT_REQUESTS,75,2,517,0,2
BOT_REQUESTS,75,3,517,0,2
BOT_REQUESTS,75,4,517,0,2
BOT_REQUESTS,75,5,517,0,2
BOT_REQUESTS,75,6,517,0,2
BOT_REQUESTS,76,0,517,2,0
BOT_REQUESTS,76,1,516,2,1
BOT_REQUESTS,76,2,514,4,1
BOT_REQUESTS,76,3,415,101,3
BOT_REQUESTS,76,4,263,230,26
BOT_REQUESTS,76,5,187,236,96
BOT_REQUESTS,76,6,148,209,162
BOT_REQUESTS,77,0,517,2,0
BOT_REQUESTS,77,1,517,1,1
BOT_REQUESTS,77,2,516,1,2
BOT_REQUESTS,77,3,514,2,3
BOT_REQUESTS,77,4,490,26,3
BOT_REQUESTS,77,5,357,148,14
BOT_REQUESTS,77,6,209,254,56
BOT_REQUESTS,78,0,517,2,0
BOT_REQUESTS,78,1,516,3,0
BOT_REQUESTS,78,2,500,18,1
BOT_REQUESTS,78,3,404,110,5
BOT_REQUESTS,78,4,291,188,40
BOT_REQUESTS,78,5,223,202,94
BOT_REQUESTS,78,6,180,181,158
BOT_REQUESTS,79,0,517,2,0
BOT_REQUESTS,79,1,517,2,0
BOT_REQUESTS,79,2,516,3,0
BOT_REQUESTS,79,3,506,12,1
BOT_REQUESTS,79,4,469,48,2
BOT_REQUESTS,79,5,321,185,13
BOT_REQUESTS,79,6,212,227,80
BOT_REQUESTS,80,0,517,2,0
BOT_REQUESTS,80,1,514,5,0
BOT_REQUESTS,80,2,503,13,3
BOT_REQUESTS,80,3,425,87,7
BOT_REQUESTS,80,4,251,232,36
BOT_REQUESTS,80,5,171,251,97
BOT_REQUESTS,80,6,130,210,179
BOT_REQUESTS,81,0,517,2,0
BOT_REQUESTS,81,1,516,2,1
BOT_REQUESTS,81,2,516,2,1
BOT_REQUESTS,81,3,513,5,1
BOT_REQUESTS,81,4,402,115,2
BOT_REQUESTS,81,5,243,241,35
BOT_REQUESTS,81,6,163,245,111
BOT_REQUESTS,82,0,517,2,0
BOT_REQUESTS,82,1,516,3,0
BOT_REQUESTS,82,2,514,5,0
BOT_REQUESTS,82,3,509,8,2
BOT_REQUESTS,82,4,480,35,4
BOT_REQUESTS,82,5,338,168,13
BOT_REQUESTS,82,6,214,240,65
BOT_REQUESTS,83,0,517,2,0
BOT_REQUESTS,83,1,517,2,0
BOT_REQUESTS,83,2,515,3,1
BOT_REQUESTS,83,3,496,22,1
BOT_REQUESTS,83,4,394,120,5
BOT_REQUESTS,83,5,251,234,34
BOT_REQUESTS,83,6,171,241,107
BOT_REQUESTS,84,0,517,2,0
BOT_REQUESTS,84,1,516,2,1
BOT_REQUESTS,84,2,516,1,2
BOT_REQUESTS,84,3,514,2,3
BOT_REQUESTS,84,4,504,12,3
BOT_REQUESTS,84,5,436,77,6
BOT_REQUESTS,84,6,283,201,35
BOT_REQUESTS,85,0,517,2,0
BOT_REQUESTS,85,1,514,4,1
BOT_REQUESTS,85,2,505,12,2
BOT_REQUESTS,85,3,416,96,7
BOT_REQUESTS,85,4,261,212,46
BOT_REQUESTS,85,5,188,221,110
BOT_REQUESTS,85,6,167,187,165
BOT_REQUESTS,86,0,517,2,0
BOT_REQUESTS,86,1,516,3,0
BOT_REQUESTS,86,2,498,21,0
BOT_REQUESTS,86,3,397,116,6
BOT_REQUESTS,86,4,268,208,43
BOT_REQUESTS,86,5,188,229,102
BOT_REQUESTS,86,6,153,194,172
BOT_REQUESTS,87,0,517,2,0
BOT_REQUESTS,87,1,516,3,0
BOT_REQUESTS,87,2,512,6,1
BOT_REQUESTS,87,3,497,18,4
BOT_REQUESTS,87,4,400,112,7
BOT_REQUESTS,87,5,249,232,38
BOT_REQUESTS,87,6,176,220,123
BOT_REQUESTS,88,0,517,2,0
BOT_REQUESTS,88,1,517,1,1
BOT_REQUESTS,88,2,517,1,1
BOT_REQUESTS,88,3,516,1,2
BOT_REQUESTS,88,4,515,2,2
BOT_REQUESTS,88,5,508,8,3
BOT_REQUESTS,88,6,425,88,6
BOT_REQUESTS,89,0,517,2,0
BOT_REQUESTS,89,1,517,0,2
